"Num_cores","N_bootstrap","speedup"
1,100,1
2,100,1.32565092278927
3,100,1.88101050141669
4,100,3.0023914131328
5,100,3.70958088078055
6,100,4.31017053932501
7,100,4.58323043003533
8,100,5.04409371447259
9,100,5.3048403398426
10,100,5.64136672805614
11,100,5.98967534061393
12,100,6.45667062567074
13,100,6.5624137031388
14,100,6.72656162412406
15,100,6.91755112661546
16,100,7.27929124226278
17,100,6.53766849405997
18,100,6.42378686647035
19,100,6.12692700814039
20,100,6.37634318440858
21,100,6.63770532734639
22,100,6.45920231825886
23,100,6.3947923205845
24,100,5.92302146740582
25,100,5.98179714439902
26,100,6.34465827741198
27,100,6.28994574547791
28,100,6.01594632981444
29,100,5.71658751532984
30,100,6.53254867567794
31,100,6.29798989022545
32,100,6.0731930645028
33,100,6.16828611743046
34,100,5.95432627961986
35,100,5.90345270215987
36,100,5.9938144877912
37,100,5.81914903082979
38,100,5.66283074040304
39,100,5.46931380165973
40,100,5.74848021911566
41,100,5.60561312260052
42,100,5.12606511517078
43,100,5.5635571231448
44,100,5.3631965766546
45,100,5.22274184725101
46,100,5.26178761969051
47,100,4.99996483118587
48,100,5.25953636126023
49,100,5.38204754917412
50,100,5.08776533466106
51,100,5.36954196022664
52,100,5.24487849867672
53,100,5.33533399686725
54,100,5.322602409717
55,100,5.06752134765292
56,100,5.14949169171266
57,100,5.00591999056966
58,100,5.12805073601886
59,100,5.1882031318796
60,100,4.98192977591429
61,100,5.03816387532163
62,100,4.62945339250307
63,100,4.4232034520774
64,100,3.68136547120668
1,1000,1
2,1000,1.90531030075845
3,1000,2.66845447007635
4,1000,3.41162122962974
5,1000,4.1468932161445
6,1000,4.80722233745274
7,1000,5.3952281264055
8,1000,6.04904987609045
9,1000,6.67342256324792
10,1000,6.92741856639404
11,1000,7.70580352632416
12,1000,7.96411582864383
13,1000,8.52602400525468
14,1000,9.80602317790988
15,1000,10.8642558329608
16,1000,11.3998495435091
17,1000,11.9578914191751
18,1000,11.7871319206167
19,1000,11.1549938545129
20,1000,11.5338093424257
21,1000,12.1275773095408
22,1000,12.1499523362849
23,1000,12.50149380545
24,1000,12.9668274458405
25,1000,13.2242668595756
26,1000,13.2426804129426
27,1000,13.5673039203556
28,1000,14.1111011254349
29,1000,14.2232095145809
30,1000,14.83632177932
31,1000,14.9902098456883
32,1000,15.1071905129299
33,1000,15.5196963920981
34,1000,15.6530445089553
35,1000,16.1062113859195
36,1000,15.9123453004377
37,1000,15.6709554925953
38,1000,15.6551290825106
39,1000,16.5454004189263
40,1000,17.1772868515665
41,1000,16.1286706046122
42,1000,17.4270658446121
43,1000,14.5099364814025
44,1000,15.9021689437196
45,1000,15.881444204638
46,1000,17.9323185109027
47,1000,17.2208298126181
48,1000,15.0694860297991
49,1000,17.5251204374025
50,1000,14.6920480656385
51,1000,17.6122422971205
52,1000,17.3765369157226
53,1000,17.9920678556231
54,1000,16.5326534733391
55,1000,18.0163422397323
56,1000,16.2734579917198
57,1000,15.6489832005005
58,1000,17.3395006857942
59,1000,17.9820699110821
60,1000,15.5843240072059
61,1000,15.2178291638929
62,1000,14.0957300414811
63,1000,15.8038271294285
64,1000,16.6676812714098
1,10000,1
2,10000,1.98079601254236
3,10000,2.8205462120929
4,10000,3.69271580968838
5,10000,4.45749934032922
6,10000,5.21861600400369
7,10000,6.09354597443458
8,10000,6.81064915597309
9,10000,7.53772788715794
10,10000,8.21130834518857
11,10000,8.95913287074204
12,10000,9.76393173459382
13,10000,10.4470306966829
14,10000,11.1363912118531
15,10000,11.8491194327232
16,10000,12.4862287080902
17,10000,13.1889299945036
18,10000,13.8309257802591
19,10000,14.5973817675966
20,10000,14.8230698141279
21,10000,15.5000724344925
22,10000,15.9235119528351
23,10000,16.430466203777
24,10000,16.7679035312816
25,10000,16.9538713541352
26,10000,17.4819022904754
27,10000,17.7833299292961
28,10000,18.4217451828017
29,10000,18.6392575516893
30,10000,18.827385742445
31,10000,19.1579204955441
32,10000,19.214706081461
33,10000,18.9325470186557
34,10000,19.8000174293758
35,10000,20.3970883781267
36,10000,20.6872587930702
37,10000,21.3360699944538
38,10000,21.7627498964625
39,10000,21.7091161061923
40,10000,22.7375794386106
41,10000,23.385869106043
42,10000,24.3133978016561
43,10000,25.108219326692
44,10000,24.9428201397352
45,10000,24.7669369452246
46,10000,25.4143747140219
47,10000,26.166193872367
48,10000,25.9057093278342
49,10000,27.1108736362403
50,10000,26.6202147478625
51,10000,27.7152693678448
52,10000,28.4056018748629
53,10000,27.2749595081562
54,10000,27.6532044432846
55,10000,27.4834455937632
56,10000,28.7996840737921
57,10000,28.2299024497951
58,10000,28.179427827347
59,10000,28.7227707817598
60,10000,28.639426421654
61,10000,27.8072116536279
62,10000,27.9245966319745
63,10000,29.4536112268879
64,10000,31.7161344050281
